place1,place2,distance
IG,SE,0.7
E,IG,0.9
NW,WC,2
N,WC,0.9
SW,WC,0.9
W,WC,0.9
EC,WC,1.8
EC,W,2.5
EC,NW,2.5
EC,SW,2.5
EC,N,2.5
KT,TW,4.2
CR,SM,5.5
DY,WV,6.2
HA,UB,6.3
IG,RM,6.3
RM,SE,6.4
BR,CR,6.5
AL,HP,6.6
E,RM,6.8
M,SK,6.8
TW,UB,7
KT,SM,7
HA,WD,7.1
WS,WV,7.4
HD,HX,7.9
BD,HX,8
M,OL,8
AL,WD,8.9
DY,WS,9.1
BB,PR,10
KT,UB,10.5
HP,WD,10.7
B,WS,10.7
SM,TW,10.9
BR,W,11
BR,NW,11
BR,SW,11
RH,SM,11
BR,N,11
HP,LU,11.1
G,PA,11.2
CR,W,11.3
CR,SW,11.3
CR,NW,11.3
CR,RH,11.3
CR,N,11.3
DG,TD,11.4
BR,DA,11.4
BL,WN,11.4
TW,W,11.5
EC,SE,11.5
KT,W,11.6
BR,SM,11.6
BR,WC,11.6
KT,SW,11.6
KT,N,11.6
E,EC,11.6
KT,NW,11.6
SL,UB,11.7
TW,WC,11.7
AL,LU,11.8
N,SE,11.9
SE,W,11.9
E,NW,11.9
OL,SK,11.9
E,SW,11.9
E,W,11.9
E,N,11.9
NW,SE,11.9
SE,SW,11.9
CR,WC,12
E,WC,12.1
SE,WC,12.1
EC,IG,12.2
N,TW,12.3
SW,TW,12.3
BL,M,12.3
NW,TW,12.3
KT,WC,12.4
CR,KT,12.5
IG,NW,12.6
IG,N,12.6
IG,W,12.6
IG,SW,12.6
IG,WC,12.8
NE,SR,12.8
EC,EN,12.8
CR,EC,12.9
LS,WF,12.9
BA,BS,12.9
SM,W,13.2
SM,SW,13.2
NW,SM,13.3
N,SM,13.3
AL,EN,13.5
BB,BL,13.5
DH,SR,13.5
BR,EC,13.8
EC,KT,14
SM,WC,14.1
HA,TW,14.1
EN,SE,14.1
UB,WC,14.2
HA,KT,14.2
WA,WN,14.2
HD,WF,14.3
HA,WC,14.4
